additives_plus_carbs_with_sources_2025_f3ffdfc3
code,name,category,permitted_GB,permitted_NI,permitted_EU,status_notes,child_warning,PKU_warning,polyols_warning,sulphites_allergen_label,origin,overview,typical_uses,effects_summary,effects_verdict,synonyms,matches,ins_number,sources
E100,Curcumin,colour,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,varies (may be plant- or mineral‑derived or synthetic (man‑made)),Curcumin used as a colour.,"Confectionery, beverages, desserts, bakery icings.",Generally recognised as safe at permitted use levels.,neutral,,100; curcumin,100,"[{""title"": ""FSA: Approved additives & E numbers (updated 16 Jul 2025)"", ""url"": ""https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers"", ""covers"": ""Additive enumeration for GB; GB vs NI/EU notes""}, {""title"": ""European Commission: Food Additives Database (Union list)"", ""url"": ""https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en"", ""covers"": ""EU approvals and conditions of use (Annex II of Reg. 1333/2008)""}]"
E101i,Riboflavin,colour,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,varies (may be plant- or mineral‑derived or synthetic (man‑made)),Riboflavin used as a colour.,"Confectionery, beverages, desserts, bakery icings.",Generally recognised as safe at permitted use levels.,neutral,,101i; riboflavin,101i,"[{""title"": ""FSA: Approved additives & E numbers (updated 16 Jul 2025)"", ""url"": ""https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers"", ""covers"": ""Additive enumeration for GB; GB vs NI/EU notes""}, {""title"": ""European Commission: Food Additives Database (Union list)"", ""url"": ""https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en"", ""covers"": ""EU approvals and conditions of use (Annex II of Reg. 1333/2008)""}]"
E101ii,Riboflavin-5'-phosphate,colour,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,varies (may be plant- or mineral‑derived or synthetic (man‑made)),Riboflavin-5'-phosphate used as a colour.,"Confectionery, beverages, desserts, bakery icings.",Generally recognised as safe at permitted use levels.,neutral,,101ii; 5'; phosphate; riboflavin; riboflavin-5'-phosphate,101i,"[{""title"": ""FSA: Approved additives & E numbers (updated 16 Jul 2025)"", ""url"": ""https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers"", ""covers"": ""Additive enumeration for GB; GB vs NI/EU notes""}, {""title"": ""European Commission: Food Additives Database (Union list)"", ""url"": ""https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en"", ""covers"": ""EU approvals and conditions of use (Annex II of Reg. 1333/2008)""}]"
E102,Tartrazine,colour,TRUE,TRUE,TRUE,,TRUE,FALSE,FALSE,FALSE,synthetic (man‑made),Tartrazine is an artificial azo dye for vivid colours.,"Confectionery, beverages, desserts, bakery icings.",Label must state it may affect activity and attention in children.,caution,FD&C Yellow 5; Yellow 5; Tartrazine,102; tartrazine,102,"[{""title"": ""FSA: Approved additives & E numbers (updated 16 Jul 2025)"", ""url"": ""https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers"", ""covers"": ""Additive enumeration for GB; GB vs NI/EU notes""}, {""title"": ""European Commission: Food Additives Database (Union list)"", ""url"": ""https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en"", ""covers"": ""EU approvals and conditions of use (Annex II of Reg. 1333/2008)""}, {""title"": ""Gov.uk: Required warning statements"", ""url"": ""https://www.gov.uk/food-labelling-and-packaging/food-and-drink-warnings"", ""covers"": ""Wording for azo colours, aspartame, caffeine""}]"
E104,Quinoline yellow,colour,TRUE,TRUE,TRUE,,TRUE,FALSE,FALSE,FALSE,synthetic (man‑made),Quinoline yellow is an artificial azo dye for vivid colours.,"Confectionery, beverages, desserts, bakery icings.",Label must state it may affect activity and attention in children.,caution,,104; quinoline yellow,104,"[{""title"": ""FSA: Approved additives & E numbers (updated 16 Jul 2025)"", ""url"": ""https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers"", ""covers"": ""Additive enumeration for GB; GB vs NI/EU notes""}, {""title"": ""European Commission: Food Additives Database (Union list)"", ""url"": ""https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en"", ""covers"": ""EU approvals and conditions of use (Annex II of Reg. 1333/2008)""}, {""title"": ""Gov.uk: Required warning statements"", ""url"": ""https://www.gov.uk/food-labelling-and-packaging/food-and-drink-warnings"", ""covers"": ""Wording for azo colours, aspartame, caffeine""}]"
E110,Sunset Yellow FCF; Orange Yellow S,colour,TRUE,TRUE,TRUE,,TRUE,FALSE,FALSE,FALSE,synthetic (man‑made),Sunset Yellow FCF; Orange Yellow S is an artificial azo dye for vivid colours.,"Confectionery, beverages, desserts, bakery icings.",Label must state it may affect activity and attention in children.,caution,FD&C Yellow 6; Yellow 6; Sunset Yellow,110; orange yellow s; sunset yellow fcf; sunset yellow fcf; orange yellow s,110,"[{""title"": ""FSA: Approved additives & E numbers (updated 16 Jul 2025)"", ""url"": ""https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers"", ""covers"": ""Additive enumeration for GB; GB vs NI/EU notes""}, {""title"": ""European Commission: Food Additives Database (Union list)"", ""url"": ""https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en"", ""covers"": ""EU approvals and conditions of use (Annex II of Reg. 1333/2008)""}, {""title"": ""Gov.uk: Required warning statements"", ""url"": ""https://www.gov.uk/food-labelling-and-packaging/food-and-drink-warnings"", ""covers"": ""Wording for azo colours, aspartame, caffeine""}]"
E120,Cochineal; Carminic acid; Carmines,colour,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,animal,Cochineal; Carminic acid; Carmines used as a colour.,"Confectionery, beverages, desserts, bakery icings.",Generally recognised as safe at permitted use levels.,neutral,Carmine; Carminic acid; Cochineal,120; carmines; carminic acid; cochineal; cochineal; carminic acid; carmines,120,"[{""title"": ""FSA: Approved additives & E numbers (updated 16 Jul 2025)"", ""url"": ""https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers"", ""covers"": ""Additive enumeration for GB; GB vs NI/EU notes""}, {""title"": ""European Commission: Food Additives Database (Union list)"", ""url"": ""https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en"", ""covers"": ""EU approvals and conditions of use (Annex II of Reg. 1333/2008)""}]"
E122,Azorubine; Carmoisine,colour,TRUE,TRUE,TRUE,,TRUE,FALSE,FALSE,FALSE,synthetic (man‑made),Azorubine; Carmoisine is an artificial azo dye for vivid colours.,"Confectionery, beverages, desserts, bakery icings.",Label must state it may affect activity and attention in children.,caution,,122; azorubine; azorubine; carmoisine; carmoisine,122,"[{""title"": ""FSA: Approved additives & E numbers (updated 16 Jul 2025)"", ""url"": ""https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers"", ""covers"": ""Additive enumeration for GB; GB vs NI/EU notes""}, {""title"": ""European Commission: Food Additives Database (Union list)"", ""url"": ""https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en"", ""covers"": ""EU approvals and conditions of use (Annex II of Reg. 1333/2008)""}, {""title"": ""Gov.uk: Required warning statements"", ""url"": ""https://www.gov.uk/food-labelling-and-packaging/food-and-drink-warnings"", ""covers"": ""Wording for azo colours, aspartame, caffeine""}]"
E123,Amaranth,colour,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,varies (may be plant- or mineral‑derived or synthetic (man‑made)),Amaranth used as a colour.,"Confectionery, beverages, desserts, bakery icings.",Generally recognised as safe at permitted use levels.,neutral,,123; amaranth,123,"[{""title"": ""FSA: Approved additives & E numbers (updated 16 Jul 2025)"", ""url"": ""https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers"", ""covers"": ""Additive enumeration for GB; GB vs NI/EU notes""}, {""title"": ""European Commission: Food Additives Database (Union list)"", ""url"": ""https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en"", ""covers"": ""EU approvals and conditions of use (Annex II of Reg. 1333/2008)""}]"
E124,Ponceau 4R; Cochineal Red A,colour,TRUE,TRUE,TRUE,,TRUE,FALSE,FALSE,FALSE,synthetic (man‑made),Ponceau 4R; Cochineal Red A is an artificial azo dye for vivid colours.,"Confectionery, beverages, desserts, bakery icings.",Label must state it may affect activity and attention in children.,caution,Ponceau 4R; Cochineal Red A,124; cochineal red a; ponceau 4r; ponceau 4r; cochineal red a,124,"[{""title"": ""FSA: Approved additives & E numbers (updated 16 Jul 2025)"", ""url"": ""https://www.food.gov.uk/business-guidance/approved-additives-and-e-numbers"", ""covers"": ""Additive enumeration for GB; GB vs NI/EU notes""}, {""title"": ""European Commission: Food Additives Database (Union list)"", ""url"": ""https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en"", ""covers"": ""EU approvals and conditions of use (Annex II of Reg. 1333/2008)""}, {""title"": ""Gov.uk: Required warning statements"", ""url"": ""https://www.gov.uk/food-labelling-and-packaging/food-and-drink-warnings"", ""covers"": ""Wording for azo colours, aspartame, caffeine""}]"
