row,name,category,pattern_matched
6,Extremely Chocolateey Ginger Biscuits,"Snacks, Snacks sucrés",\bsucrés\b
26,Chocolate Chip Brioche Rolls,"Snacks, Snacks sucrés",\bsucrés\b
474,Apricot Strawberry Raspberry Fromage Frais,"Dairies, Fermented foods",\bfromage\b
477,Double Chocolate Mini Muffins,"Snacks, Snacks sucrés",\bsucrés\b
599,Dairy Milk Freddo,"Snacks, Snacks sucrés",\bsucrés\b
604,Greek Style Yogurts Unsweetened,"Produits laitiers, Produits fermentés",\bProduits laitiers\b
634,Kentish Bramley Apple Hot Cross Buns,"Snacks, Snacks sucrés",\bsucrés\b
681,Harissa Chicken Couscous Salad,"Plant-based foods and beverages, Plant-b",\bfromage\b
692,Loaded Millionaire Shortbread,"Snacks, Snacks sucrés",\bsucrés\b
881,Fruit Yoghurt Pog,yogurts,\bfromage\b
948,Fromage Frais,"Dairies, Fermented foods",\bfromage\b
1055,Digestive Dark Chocolate,"Snacks, Snacks sucrés",\bsucrés\b
1334,Vintage Cheddar And Caramelised Onion Quiche,Quiches with vegetables,\bfromage\b
1420,Starbar Duo,"Snacks, Snacks sucrés",\bsucrés\b
1531,Belgian Dark Chocolate Coated Stem Ginger Cookies,"Snacks, Snacks sucrés",\bsucrés\b
1554,Smooth Milk Chocolate,"Snacks, Snacks sucrés",\bsucrés\b
1561,Extra Creamy Milk Chocolate,"Snacks, Snacks sucrés",\bsucrés\b
1801,Build A Burger,"Snacks, Snacks sucrés",\bsucrés\b
2503,Heroes,"Snacks, Snacks sucrés",\bsucrés\b
2539,Honey Smoked Salmon & Lentil Salad,"Smoked salmon lentil salad, Smoked-salmo",\bfromage\b
2584,"Apple, Celery And Walnut Slaw",nl:Hartige smeerbare producten,\bfromage\b
3306,Swiss Chocolate Milk Fruits And Nuts,"Snacks, Snacks sucrés",\bsucrés\b
3994,Fairtrade Cocoa Privat Chocolateiers J. D. Gross Be,"Aliments de Pâques, Bonbons de chocolat",\bchocolat\b
4048,Jaffa Cakes,"Snacks, Snacks sucrés",\bsucrés\b
4205,Mcvitie's Cookies White Choc Chip,"Snacks, Snacks sucrés",\bsucrés\b
4353,Battenberg,"Snacks, Snacks sucrés",\bsucrés\b
4402,Doritos Dippers Thicker & Crunchier A Hint Or Paprika,"Snacks, Snacks salés",\bsalés\b
4508,Strawberry Flavour Laces,"Snacks, Snacks sucrés",\bsucrés\b
4758,Cheese And Tomato Gluten Free Sandwich,Sandwichs au fromage,\bfromage\b
4933,Egg Custard Tarts,"Snacks, Snacks sucrés",\bsucrés\b
5152,Fromage Frais Pots,"Dairies, Fermented foods",\bfromage\b
5153,Fromage Frais Pots,,\bfromage\b
5171,Organic Fromage Frais,"Baby foods,",\bfromage\b
5202,Ugandan Dark Chocolate,"Snacks, Snacks sucrés",\bsucrés\b
5208,Chocolate And Orange Cereal Bars,"Snacks, Snacks sucrés",\bsucrés\b
5796,Protein Raspberry & Strawberry Flavoured Shake,"Compléments alimentaires, Compléments po",\bCompléments alimentaires\b
5915,Belgian Collection Chocolate Truffles,"Snacks, Snacks sucrés",\bsucrés\b
5978,Belgian White Chocolate Chunk Cookies,"Snacks, Snacks sucrés",\bsucrés\b
5993,"Chicken And Bacon Layered Salad With Mayonnaise, Pasta","Meals, Prepared salads",\bfromage\b
6019,Rich Tea Biscuits,"Snacks, Snacks sucrés",\bsucrés\b
6022,Mini Oat Biscuits,"Snacks, Snacks sucrés",\bsucrés\b
6050,Dark Chocolate And Mint Oat Biscuits,"Snacks, Snacks sucrés",\bsucrés\b
6170,Double Chocolate Cookie,"Compléments alimentaires, Compléments po",\bCompléments alimentaires\b
6752,Bluey Fromage Frais Strawberry,fromage frais,\bfromage\b
6905,Hazelnut Elegant Dark Studded With Roasted Heazelnuts,hotel chocolat hazelnut 70% dark chocola,\bchocolat\b
7057,Activia Yogurt,"Produits laitiers, Produits fermentés",\bProduits laitiers\b
7091,Black Forest Cherry Dark Chocolate,"Snacks, Snacks sucrés",\bsucrés\b
7178,Oxo Maxi,"Snacks, Snacks sucrés",\bsucrés\b
7364,Peppersmith Fine English Peppermint Chewing Gum Imp Cashier,"Snacks, Snacks sucrés",\bsucrés\b
7455,Reduced Fat Coleslaw,"Snacks, Snacks salés",\bsalés\b
7570,White Chocolate With Vanilla,"Snacks, Snacks sucrés",\bsucrés\b
7590,Raspberry & Vanilla Panna Cotta,"Produits laitiers, Desserts",\bProduits laitiers\b
7608,22 Caramel Shortcake Bites,"Snacks, Snacks sucrés",\bsucrés\b
7716,Tuna & Cucumber Sandwich,"Sandwiches, Fish sandwiches",\bfromage\b
7724,Butternut Squash,"Sandwiches, Wraps",\bfromage\b
7741,Reduced FAT Soured Cream & Chive,"Condiments, Sauces",\bfromage\b
7808,Chicken And Brocolli Bake,Ingredients,\bfromage\b
7814,"Avocado, Kale & Grains","Plant-based foods and beverages, Plant-b",\bfromage\b
8037,Co-op Quiche Lorraine,"Meals, Pizzas pies and quiches",\bfromage\b
8169,English Extra Mature Cheddar,"Produits laitiers, Produits fermentés",\bProduits laitiers\b
8509,Dark Choco,"Snacks, Snacks sucrés",\bsucrés\b
8513,Grated Grana Padano,"Produits laitiers, Produits fermentés",\bProduits laitiers\b
8862,Soft Cheese Garlic And Herb,"Produits laitiers, Produits fermentés",\bProduits laitiers\b
9062,Greek Feta & Spinach Quiche,"Meals, Pizzas pies and quiches",\bfromage\b
9092,"LESS FAT* SOUR Cream & Chive Cool And Creamy,",,\bfromage\b
9412,Lemon Cheeseecake,"Snacks, Snacks sucrés",\bsucrés\b
9495,Protein Balls Lemon Drizzle Cake,"Compléments alimentaires, Compléments po",\bCompléments alimentaires\b
9570,Rolo Mousse,"Produits laitiers, Desserts",\bProduits laitiers\b
9577,Choc Chip Pancake,"Pâtisseries, Pâtisserie au chocolat",\bchocolat\b
9732,Light Greek Style Coconut & Vanilla Yogurt,"Produits laitiers, Produits fermentés",\bProduits laitiers\b
9921,Duo Chocolate Bar 2 X,"Snacks, Snacks sucrés",\bsucrés\b
9966,Caramel Chocolate Digestives Biscuits,"Snacks, Snacks sucrés",\bsucrés\b
9979,Mcvitie's Digestives Dark Chocolate,"Snacks, Snacks sucrés",\bsucrés\b
10236,Thorntons Moments,"Snacks, Snacks sucrés",\bsucrés\b
10238,Continental,"Snacks, Snacks sucrés",\bsucrés\b
10279,Milk Sea Salt Caramel Truffles,Truffes en chocolat,\bchocolat\b
10415,Little Yeos Oganic Fromage Frais,"Dairies, Fermented foods",\bfromage\b
10589,Daim Cheeseecake,"Snacks, Snacks sucrés",\bsucrés\b
11024,Oreo Sjokoladetrukket 246 G,"Snacks, Snacks sucrés",\bsucrés\b
11026,Dairy Milk,"snacks, snacks-sucrés",\bsucrés\b
11030,Fruit Adventure,"Snacks, Snacks sucrés",\bsucrés\b
11277,All Butter Puff Pastry,"Snacks, Snacks sucrés",\bsucrés\b
11331,English Bramley Apple Pies,"Snacks, Snacks sucrés",\bsucrés\b
11424,Oaty Rounds,"Snacks, Snacks sucrés",\bsucrés\b
11684,Hot Smoked Salmon & New Potato Salad,"Seafood, Fishes and their products",\bfromage\b
11745,Greek Style Yogurt With Honey,"Produits laitiers, Produits fermentés",\bProduits laitiers\b
11817,Taste The Difference All Butter Highland Shortbread Fingers,"Snacks, Snacks sucrés",\bsucrés\b
12138,Weiche Torrone,"Snacks, Snacks sucrés",\bsucrés\b
12198,Chocolate Gâteau,"Dairy chocolate desserts, Cakes",\bgâteau\b
12344,Raspberry Overnight Wheat Bisks,"Produits laitiers, Produits fermentés",\bProduits laitiers\b
12387,Madeleine,"Snacks, Snacks sucrés",\bsucrés\b
12389,"Petits Filous Fromage Frais, Strawberry & Apricot","Produits laitiers, Produits fermentés",\bProduits laitiers\b
12393,Strawberry And Banana Sugar Free Yoghurt,"Dairies, Fermented foods",\bfromage\b
12443,Chocolate Mousse,"Produits laitiers, Desserts",\bProduits laitiers\b
12724,Lemon Shortbread Rounds,"Snacks, Snacks sucrés",\bsucrés\b
12947,Mini Eggs,Oeufs en chocolat,\bchocolat\b
13110,Sweet And Creamy Strawberry Cheeseecake,,\bfromage\b
13756,Alpen Delight #15 Imp,"Snacks, Snacks sucrés",\bsucrés\b
14470,All Butter Croissant,"Snacks, Snacks sucrés",\bsucrés\b
14807,Tesco Mushroom Risotto,"Meals, Rice dishes",\bfromage\b
14844,Goats Cheese And Red Pepper Quiche,"Meals, Pizzas pies and quiches",\bfromage\b
14919,Maple Bacon And Extra Mature Cheddar Quiche,"Meals, Pizzas pies and quiches",\bfromage\b
14932,Skin On Fries,"Snacks, Snacks salés",\bsalés\b
14995,"Tomato, Olive & Basil Quiche","Meals, Pizzas pies and quiches",\bfromage\b
15150,Free Peach Passion Fruit Fat & Added Sugar Yogurt 4 X,"Produits laitiers, Produits fermentés",\bProduits laitiers\b
15216,Smoky Bacon Flavour Chips,"Snacks, Snacks salés",\bsalés\b
15452,Biskream Raspberry,"Snacks, Snacks sucrés",\bsucrés\b
15673,Zombie Takis,"Snacks salés, Tortillas",\bsalés\b
15685,Quality Street,Assortiments de bonbons de chocolat,\bchocolat\b
15830,Sweet Chilli Rice Crackers,"Snacks, Snacks salés",\bsalés\b
15866,Milk Chocolate Digestives,"Snacks, Snacks sucrés",\bsucrés\b
15903,Dark Chocolate - Peru,"Snacks, Snacks sucrés",\bsucrés\b
15938,V Egetarian M&S -food- Green Goddess Dressing &quot;A L,Salad dressing,\bfromage\b
15989,Essential Waitrose & Partners Mature MADE TO A UNI,"Produits laitiers, Produits fermentés",\bProduits laitiers\b
16035,Red Leicester,"Produits laitiers, Produits fermentés",\bProduits laitiers\b
16166,Kit Kat Chunky Duo,"Snacks, Snacks sucrés",\bsucrés\b
16402,Digestive Light,"Snacks, Snacks sucrés",\bsucrés\b
16591,Gruyère,"Produits laitiers, Produits fermentés",\bProduits laitiers\b
16708,Purition With Vanilla,"Compléments alimentaires, Compléments po",\bCompléments alimentaires\b
16796,Genova,"Snacks, Snacks sucrés",\bsucrés\b
16837,Cadbury Crunchy Melts Soft Cookie Centre,"Snacks, Snacks sucrés",\bsucrés\b
16985,Custard,"Produits laitiers, Condiments",\bProduits laitiers\b
17103,West Country Luxury Yogurt - Lemon & Lime Curd,"Produits laitiers, Produits fermentés",\bProduits laitiers\b
17204,Vegan Protein Blend,"Compléments alimentaires, Compléments po",\bCompléments alimentaires\b
17315,Bonbons Tendres Aux Fruits,"Snacks, Snacks sucrés",\bsucrés\b
17346,Muesli Bars Chocolate,"Snacks, Snacks sucrés",\bsucrés\b
17473,Munch Bunch Organic Pouch Strawberry,"Dairies, Fermented foods",\bfromage\b
17474,Munch Bunch Organic Fromage Frais,"Dairies, Fermented foods",\bfromage\b
17475,Lindahls Kvarg Peach & Passion Fruit,"Produits laitiers, Produits fermentés",\bProduits laitiers\b
17490,Milkybar Mousse,"Produits laitiers, Desserts",\bProduits laitiers\b
17491,Munch Bunch Fromage Frais Original,"Produits laitiers, Desserts",\bProduits laitiers\b
17492,Munch Bunch Fromage Frais,"Dairies, Fermented foods",\bfromage\b
17493,Munch Bunch Double Up Strawberry And Banana,"Dairies, Fermented foods",\bfromage\b
17494,Munch Bunch Fromage Frais Strawberry Vanilla,"Dairies, Fermented foods",\bfromage\b
17495,Munch Bunch Double Up Raspberry & Strawberry,"Dairies, Fermented foods",\bfromage\b
17499,Aero Milk Choc Mousse,"Produits laitiers, Desserts",\bProduits laitiers\b
17500,Munch Bunch Fromage Frais Original,"Dairies, Desserts",\bfromage\b
17502,Excellence Milk Sea Salt Caramel,"Snacks, Snacks sucrés",\bsucrés\b
17532,Petits Filous Raspberry & Strawberry Fromage Frais,"Produits laitiers, Produits fermentés",\bProduits laitiers\b
17592,Wild Berry,"snacks, snacks-sucrés",\bsucrés\b
17696,Fruity Kids Yogurt,"Dairies, Fermented foods",\bfromage\b
17750,Cocoa Sandwich Biscuits With Vanilla Flavoured Crème Filling,"Snacks, Snacks sucrés",\bsucrés\b
17973,Little Delights,"Dairies, Fermented foods",\bfromage\b
18219,Cheese & Broccoli Quiche,quiche,\bfromage\b
18222,Marshmallow,"Snacks, Snacks sucrés",\bsucrés\b
18718,Fabulous Chcolatey Salted Caramel Rounds,"Snacks, Snacks sucrés",\bsucrés\b
18877,Swizzles Loadsa Sweets,"Snacks, Snacks sucrés",\bsucrés\b
18950,Morrisons Mexican Style Classic Nacho Cheese Toppi,Sauces au fromage,\bfromage\b
18980,6 Vegan Choc Macaroons,"Snacks, Snacks sucrés",\bsucrés\b
19357,Squashums Yogurt Strawberry & Peach,"Produits laitiers, Produits fermentés",\bProduits laitiers\b
19401,Hummus Chips Sour Cream & Chives Flavour,"Snacks, Snacks salés",\bsalés\b
19416,Maple Syrup Fudge,"Snacks, Snacks sucrés",\bsucrés\b
19692,Macromunch,"Compléments alimentaires, Compléments po",\bCompléments alimentaires\b
19791,Impact Protein Shake Chocolate Flavour,"Compléments alimentaires, Compléments po",\bCompléments alimentaires\b
19841,Fromage Frais Strawberry Apricot Raspberry,"Produits laitiers, Produits fermentés",\bProduits laitiers\b
19956,Y Castell Welshcakes,"Snacks, Snacks sucrés",\bsucrés\b
20177,Jaffa Quake,"Compléments alimentaires, Compléments po",\bCompléments alimentaires\b
20313,Free Strawberry Skyr Icelandic Style Yogurt,"Produits laitiers, Produits fermentés",\bProduits laitiers\b
20652,Huel Complete Nutrition Bar - Peanut Caramel,"Snacks, Snacks sucrés",\bsucrés\b
20800,Chocolate And Peanut Butter Flavour Vitamin & Protein Bar,"Snacks, Snacks sucrés",\bsucrés\b
20906,Lays Papryka,"Snacks, Snacks salés",\bsalés\b
21023,Kit Kat 2 Finger Milk Chocolate Biscuit Bars,"Snacks, Snacks sucrés",\bsucrés\b
21047,Escargots Chocolate Noir,"Snacks, Snacks sucrés",\bsucrés\b
21166,Limited Edition Oreo Peanut Butter Flavour,"Snacks, Snacks sucrés",\bsucrés\b
21195,Black's Dark Salted Caramel Chocolate Bar,"Snacks, Snacks sucrés",\bsucrés\b
21210,Dark Cocoa Orange,"Snacks, Snacks sucrés",\bsucrés\b
21257,Ciocko Sticks Milk Chocolate,"Snacks, Snacks sucrés",\bsucrés\b
21268,Kinder Bueno White,"Snacks, Snacks sucrés",\bsucrés\b
21371,Cake Break Donut,"Snacks, Snacks sucrés",\bsucrés\b
21385,Digestive Thins- Milk Chocolate Cappuccino,"Snacks, Snacks sucrés",\bsucrés\b
21509,Cracker Mix Classic,"snacks, snacks-salés",\bsalés\b
21765,Fat Greek Style Live Yoghurt With Honey,"Produits laitiers, Produits fermentés",\bProduits laitiers\b
21768,Sweet And Salty Butterfly Popcorn,"Snacks, Snacks salés",\bsalés\b
21821,Salted Popcorn,"Snacks, Snacks salés",\bsalés\b
21902,Grated Cheddar,"Produits laitiers, Produits fermentés",\bProduits laitiers\b
22065,Parmigiano Reggiano 30 Months,"Produits laitiers, Produits fermentés",\bProduits laitiers\b
