row,name,category,pattern_matched
550,MILK 6 ESTO Dairy 1906 Dairy 1905 Cadbury Dairy MI,"Botanas, Snacks dulces",\bBotanas\b
910,Custard Creams,"Botanas, Snacks dulces",\bBotanas\b
1062,Mcvities Hob Nobs Dark Chocolate,"Botanas, Snacks dulces",\bBotanas\b
1987,Candied Orange Peel Swiss Dark Chocolate,"Botanas, Snacks dulces",\bBotanas\b
2420,French Fries,"Botanas, Snacks salados",\bBotanas\b
3342,Milk Chocolate Chip Cookies,"Botanas, Snacks dulces",\bBotanas\b
4207,Tasties Coconut Rings,"Botanas, Snacks dulces",\bBotanas\b
5874,Roses,"Botanas, Snacks dulces",\bBotanas\b
6089,Malted Milk,"Botanas, Snacks dulces",\bBotanas\b
10365,Twirl Chocolate Bar,"Botanas, Snacks dulces",\bBotanas\b
11011,Oreo Double Creme,"Botanas, Snacks dulces",\bBotanas\b
11340,Mini Gingerbread Men Biscuits,"Botanas, Snacks dulces",\bBotanas\b
12455,Butter Waffle Biscuits,"Botanas, Snacks dulces",\bBotanas\b
12543,Candied Lemon Sliced In Dark Chocolate,"Botanas, Snacks dulces",\bBotanas\b
12738,Cookies 'n' Cream,"Botanas, Snacks dulces",\bBotanas\b
13332,Duchy Organic Stem Ginger Biscuits Coated In Dark Chocolate,"Botanas, Snacks dulces",\bBotanas\b
14980,Carrot Cake,"Botanas, Snacks dulces",\bBotanas\b
17097,Danish Butter Cookies,"Botanas, Snacks dulces",\bBotanas\b
17503,Lindt Excellence Milk Chocolate,"Botanas, Snacks dulces",\bBotanas\b
17568,Cioccolato Nocciole Intere,"Botanas, Snacks dulces",\bBotanas\b
17664,High Protein Salted Caramel Ice Cream,"Botanas, Postres",\bBotanas\b
17879,Muffins Chocolate,"Botanas, Snacks dulces",\bBotanas\b
18715,Choc Chunk Cookies Triple Chocolate,"Botanas, Snacks dulces",\bBotanas\b
18942,Milk Chocolate Cookies 4 Pack,"Botanas, Snacks dulces",\bBotanas\b
21273,Peppermint,"Botanas, Snacks dulces",\bBotanas\b
21310,Barre Céréales Protéines peanut& Chocolate🍫,"Botanas, Snacks dulces",\bBotanas\b
21585,Starburst Fruit Chews Original,"Botanas, Snacks dulces",\bBotanas\b
22694,Kafferep Biscuits With Chocolate Flavoured Filling,"Botanas, Snacks dulces",\bBotanas\b
23410,Salted Caramel Biscuits,"Botanas, Snacks dulces",\bBotanas\b
23488,Impact Dark Choc Orange,"Botanas, Snacks dulces",\bBotanas\b
23769,Organic Waffles Coconut Sugar,"Botanas, Snacks dulces",\bBotanas\b
24032,Cantuccini Mandorla,"Botanas, Snacks dulces",\bBotanas\b
24033,Milk Chocolate,"Botanas, Snacks dulces",\bBotanas\b
24076,Chocolate O's,"Botanas, Snacks dulces",\bBotanas\b
24106,Turrón Wafers,"Botanas, Snacks dulces",\bBotanas\b
24107,Gourmet Chocolate Intense,"Botanas, Snacks dulces",\bBotanas\b
24108,BSAN,"Botanas, Snacks dulces",\bBotanas\b
25717,Fairtrade Chocolate Dark Cocoa,"Botanas, Snacks dulces",\bBotanas\b
25806,Bombay Mix,"Botanas, Snacks salados",\bBotanas\b
26476,Kit Kat X10,"Botanas, Snacks dulces",\bBotanas\b
26541,Ferrero Rocher,"Botanas, Snacks dulces",\bBotanas\b
26566,Nature Valley Crunchy Oats & Honey,"Botanas, Snacks dulces",\bBotanas\b
26569,Crunchy Canadian Maple Syrup,"Botanas, Snacks dulces",\bBotanas\b
26711,Seaweed Rice Crackers,Botanas,\bBotanas\b
26779,Mrbeast Original Chocolate,"Botanas, Snacks dulces",\bBotanas\b
27441,Galletas Danesas,"Botanas, Snacks dulces",\bBotanas\b
28417,Dark Chocolate With A Hint Of Chilli And Lime,"Botanas, Snacks dulces",\bBotanas\b
28796,Creams Vanilla,"Botanas, Snacks dulces",\bBotanas\b
28882,Tortilla Chips Sweet Potato Salted,"Botanas, Snacks salados",\bBotanas\b
28903,Power Gums Cola,"Botanas, Snacks dulces",\bBotanas\b
29021,Jelly Bananas,"Botanas, Snacks dulces",\bBotanas\b
29024,Sensation Red Mix,"Botanas, Snacks dulces",\bBotanas\b
29029,Mios!,"Botanas, Snacks salados",\bBotanas\b
29033,Lentil Chips - Cheese & Herbs,"Botanas, Snacks salados",\bBotanas\b
29036,Palomitas Big Ketchup,,\bAlimentos\b
30141,Hojaldrada,"Botanas, Snacks dulces",\bBotanas\b
30495,Oatcakes - Organic,"Botanas, Snacks dulces",\bBotanas\b
30819,Super Seeded Oatcakes,"botanas, snacks-salados",\bBotanas\b
31361,Prawn Crackers,"Botanas, Snacks salados",\bBotanas\b
31542,Selection,"Botanas, Snacks dulces",\bBotanas\b
32655,Custard Creams,"es:botanas, es:galletas",\bBotanas\b
33324,Fortnum & Mason Pistachio & Clotted Cream Biscuits,"Botanas, Snacks dulces",\bBotanas\b
34873,Principe Maxi Choc,"Botanas, Snacks dulces",\bBotanas\b
34882,Bolachas Choco Moo,"Botanas, Snacks dulces",\bBotanas\b
34965,Cantuccini Dark Chocolate,"Botanas, Snacks dulces",\bBotanas\b
35044,Fruit And Nut,"Botanas, Snacks dulces",\bBotanas\b
35047,Donuts Strawberry & Cream,"Botanas, Snacks dulces",\bBotanas\b
35048,Ambrosías Tirma,"Botanas, Snacks dulces",\bBotanas\b
35060,Dark Chocolate (sugarfree),"Botanas, Snacks dulces",\bBotanas\b
35065,Gluten FREE Sandwich Chocolate,"Botanas, Snacks dulces",\bBotanas\b
35078,Neules,"Botanas, Snacks dulces",\bBotanas\b
35091,Postres Negro,"Botanas, Snacks dulces",\bBotanas\b
35097,Chocolate Negro,"Botanas, Snacks dulces",\bBotanas\b
37487,"Foods, Dark Chocolate, Nuts, & Sea Salt Snack Bars","Botanas, Snacks dulces",\bBotanas\b
38276,Piazza - Fresa,"Botanas, Snacks dulces",\bBotanas\b
38314,Chocolate 80,"Botanas, Snacks dulces",\bBotanas\b
38363,Gusanitos,"Botanas, Snacks salados",\bBotanas\b
38370,Maringuitos,"Botanas, Snacks salados",\bBotanas\b
39044,Italian Specialty Cake With Raisins,"Botanas, Snacks dulces",\bBotanas\b
39907,Almond Biscotti Cantuccini Toscani IGP,"Botanas, Snacks dulces",\bBotanas\b
39913,Belgian Luxury Chocolatees,"Botanas, Snacks dulces",\bBotanas\b
40028,Nairn's | Snackers - Cheese,"botanas, snacks-salados",\bBotanas\b
40383,Milk Chocolate Extract,"Botanas, Snacks dulces",\bBotanas\b
41032,Doritos Goût Nacho Cheese,"Botanas, Snacks salados",\bBotanas\b
41332,Brown Rice Chips,"Botanas, Snacks salados",\bBotanas\b
41631,Protein Cookie White Chocolate Almond,"Botanas, Snacks dulces",\bBotanas\b
41823,Jacobs Krackawheat,"botanas, snacks-salados",\bBotanas\b
42222,Lemon Curd Biscuits,"Botanas, Snacks dulces",\bBotanas\b
42385,"Walnut, Honey And Extra Virgin Olive Oil Crackers","botanas, snacks-salados",\bBotanas\b
42683,Croissant Chocolate Max,"Botanas, Snacks dulces",\bBotanas\b
42947,Pintarolas,"Botanas, Snacks dulces",\bBotanas\b
43119,Coconut,"Botanas, Snacks dulces",\bBotanas\b
43176,Crush Protein Bar Chocolate Peanut Butter,"Botanas, Snacks dulces",\bBotanas\b
43177,Crush Protein Bar Cookies & Cream,"Botanas, Snacks dulces",\bBotanas\b
43423,Swiss Milk Chocolate Almond,"Botanas, Snacks dulces",\bBotanas\b
43425,Chocolate Leche,"Botanas, Snacks dulces",\bBotanas\b
43428,Exta-fin,"Botanas, Snacks dulces",\bBotanas\b
43432,Swiss Herb Candy,"Botanas, Snacks dulces",\bBotanas\b
43438,Crunchy Protein Peanut-caramel,"Botanas, Snacks dulces",\bBotanas\b
43496,Toblerone White,"Botanas, Snacks dulces",\bBotanas\b
43504,Toblerone Chocolate Bar Milk,"Botanas, Snacks dulces",\bBotanas\b
