row,name,brand,pattern
2,Serving Contains: Saturates Sugars Salt 0.6g 0.7g,Heinz,^Serving Contains
8,"M&S -food- Honso ALPH Refreshing, Mango Smooth, Si",M&S,-food-
22,Slices By Sainsbury's Y 10 Cheesey Sainsb,Sainsbury's,Sainsb$
33,0 BO Market Morrisons 5 Street Raspberry Doughnuts,Morrisons,^[0-9]+ [A-Z]{2}
66,M&S -food- 1.2kg BIG MIX OUR Biggest EVER Selectio,M&S,-food-
122,SALT AND Vinegar Flavour Puffed RICE AND CORN CAKE,Aldi,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
131,MADE WITH British PORK Hot Honey Pork Sausage,Aldi,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
139,HT YNON Apnym G Mochi ICE Cream PER Chocolate AND,Aldi,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
180,PEEL HERE K Ashfields British Cooked HAM MADE WITH,Aldi,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
311,WE SEE Potential Walke Britat Smokin BBQ,Walkers,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
332,SKIN NS Pickled Silverskin Onions Silverskin Onion,Morrisons,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
374,RN EO Miton Sweetener Morrisons The Best HAND COOK,Co-op,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
382,CITY ON Pard Taste MINI IN SIZE Great Value Quorn,Quorn,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
640,M&S -food- Raspberry Jelly Trifle MADA WITH Britis,M&S,-food-
736,4 MINI Chocolate LOAF Cakes,M&S,^[0-9]+ [A-Z]{2}
791,M&S -food- Cinnamon BUN Bites Fudgy Cinnamon Bites,M&S,-food-
792,M&S -food- WEEN Spooky OKIE Dough Bites Salted Fud,M&S,-food-
793,M&S -food- DARK Chocolate Cranberry Jaffa Cakes Th,M&S,-food-
810,M&S -food- MILK Chocolate BIG Bubbly Santa,M&S,-food-
847,965 927 61E0 62E 6EY 6 Dairyfin,Aldi,^\d+ \d+ \d+
1126,Serving Contains Walkers Lead THE Original &,Walkers,^Serving Contains
1193,AIR FRY FROM Frozen Ninja 6-8 Minutes Iceland 12 G,Iceland,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
1303,"PACK MINI Chelse Bakes Baked Not Fried, Fo",Asda,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
1437,MILK ESTD Dairy Cadbury Sairy MILK Buttons Twisted,Dairy Milk,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
1693,SALT AND Vinegar Flavour RICE Crackers Ingredients,Aldi,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
1694,FREE FROM Gluten FREE MILK FREE 5 Angel Slices Swe,Aldi,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
1884,GRAD BAG Great Taste LESS Salt™ Great BRI,Walkers,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
