row,name,barcode,length
596,Chocolate Celebration Cake,9100000004718790001999,22
597,Seven Seeds Sensations,9150100030647680000996,22
5896,Seafood Sticks,9100000010971220000899,22
5897,Chicken Jambalaya,9100000018230040002790,22
5903,Millionaire's Shortcake Sundae,971505426807490200002533,24
9116,6 Wholemeal Batch Rolls,971500011930494060002139,24
9507,2 Handstretched Flatbreads,10500016959904400129,20
9578,6 Toastie Crumpets,33050547814984760008721457,26
11065,Made Without Wheat Gluten Free Steak Pie,821000946340042500257,21
11195,Naked Unsmoked Bacon,9150600552521320002194,22
12082,Rye & Wheat Dark Sourdough Bread,10500016941075200179,20
12083,Brillat Savarin,10500016961732800435,20
15767,Sainsbury's Stonebaked Thin Vegetable An,9100000003975510001344,22
15768,Sicilian Lemon Muffins,9100000011444370000877,22
17253,Outdoor Bred Pork Sausage Rolls,10500016938604000279,20
21592,Oreo Donuts,9100000011392800000600,22
21593,Bio&Me Mango,9150608536400250001195,22
22381,Falafel And Houmous,971000000329753700024511,24
22704,Meet Free Mince,150576242456260035000087,24
25382,Baked Oat And Raisin Cookies,5000128996020699000092193,25
26729,Prime Cuts Roast Chicken,971505291080592840009738,24
26730,Tesco Fire Pit Ultimate Burger Buns,971505796746271100004438,24
27212,Dark Praline Belgian Chocolate,8198704007000499,16
29647,Kefir Strawberry Fermented Yogurt,9150365892524120001599,22
31308,4 Katsu Curry Vegetable Steamed Buns,10500016965473600129,20
31309,Chicken And Mushroom Pie,10503366521612200363,20
35436,Tomato & Basil Soup,9150600453703890001597,22
35437,Plant Based Burger,9176132877707830001005,22
40792,Aubergine & Feta Burgers,10500016930146300105,20
43760,Shanghai Beef Noodles,821002639310021900155,21
44570,Chocolate Oat Milk,899724060117871,15
47618,Vivera Plant Mince,9187183008704770001757,22
47634,Cocoa Supreme Dark Chocolate Bar,971304692002975960005321,24
56798,Sanders Milk Chocolate Sea Salt Caramel ,128510697454800599,18
58518,Hyderabadi Mutton Shami Kebab,70020600146130321,17
58846,"M & S Food, Viva Summer",822294130410052500205,21
58847,"Culver's, Crinkle Cut Fries, Regular",8342443032757419,16
59168,"Natural-cut Fries, Medium",884555243705182015,18
59512,Higgidy Porcini Mushroom & Spinach Vegan,9150601362510850001858,22
60908,Toasted Sesame Oil,3713154017991118,16
