row,name,sodium
24303,Whoopies,2250.0
35300,Knorr Sweet Corn Veg,1040.0
35409,Chocolate Peanut Butter Powder,1430.0
38160,Sour Cream & Mild Chilli,1072.5
38519,Top Ramen Atta Masala Noodles,3148.2
38526,Maggi,2500.0
44444,Bhujia Sev,1970.0
47820,Nice Chips Paprika,1240.0
47870,Millet Namkeen Mango Achari,2332.5
59310,Noodles,4020.5
59389,Digestive Mcvities,1307.5
61568,Noodles,1617.0
61779,Heavenly Brownie Style Cookies,1120.0
61866,Takoyaki,1125.0
62304,Lay-s,1260.0
62349,Panchratan Mix,1200.0
62400,Pork Lumpia Filipino-style Spring Rolls,1220.0
62460,ABE Applied Nutrition,3038.0
63481,Cabot Cheese,1785.7
64980,Havarti,1690.0
64986,Cherry Balsamic Salad With Chicken And G,1500.0
64998,Crunchy Granola Cluster Cinnamon,1020.0
65247,Rapid Hydration Straw,2620.0
65396,Lays Potato Chips,1180.0
65685,Vegetable,1130.0
65727,Dark Hot Chocolate Mix,1339.3
65999,8906002006601,1776.2
66013,Heritage Flakes,1060.0
66031,Cracker Mix,1420.0
66129,Prepared Horseradish,1500.0
67018,Mushroom Carbonara Mac,2320.0
67068,Whey,1340.0
67186,Squeeze Original Mayonnaise,1180.0
