row,name,category
18,Iced & Spiced Fruited Buns,"plant-based-foods-and-beverages, plant-based-foods"
35,Aldi Dessert Menu Custard,"Desserts, en:custards-and-pastry-creams"
123,Italian Savour Bakes Rice Cakes Per Cake,puffed-rice-cakes
130,Sea Salt Crackers,"Sea-salt-crackers, Sea salt crackers"
147,Chocolate Fruit And Nut Mix,"Chocolate-fruit-and-nut-mix, Nuts and dried fruits"
213,Cinnamon Buns,"plant-based-foods-and-beverages, plant-based-foods"
404,Gold Chicken Tikka Masala,"Curry, en:meals-with-chicken"
449,Digestives Milk Chocolate,digestives-covered-with-chocolate
491,12 Piece Chinese Style Selection Pack,"Chinese-ready-meals, Vegetable-wonton"
557,Dairy Milk Fruitier & Nuttier Orange Boo,"Fruit-nut-bar, fruit nut bar"
564,Brunch Bar,"Brunch-bar-cadbury, Chocolate cereal bars"
689,Cheese Tasters,"Cheese-flavoured-corn-snack, Corn snack"
789,Char Siu Bao Buns,"hr:buns, char-siu-bao-buns"
839,Oakhurst SLOW Cooked Chicken Shawarma,meals-with-chicken
907,Cones - Toffee & Vanilla,ice-cream-cones
993,Yogurt Coated Cranberries,Fruits-for-feasting
1168,Wholemeal Bread,"Ultra-processed-food, Wholemeal breads"
1184,Sardines In Tomato Sauce,sardines-in-tomato-sauce
1312,Chicken-style Dippers Vegan,"Meat alternatives, Breaded-chicken-substitutes"
1353,Raspberry Orange Blossom Lightly Sparkli,"Cbd drink, en:artificially-sweetened-beverages"
1473,Mini Luxury Hot Cross Buns,"Hot cross bun, Hot-cross-bun"
1533,Milk Chocolate,milk-chocolates-with-sweeteners
1613,Fruity Raspberry Gourmet Gummies,"Fruit-flavoured-fruit-gums, Gums"
1663,Mediterranean Cous Cous,"Cous cous, en:durum-wheat-semolinas-for-couscous"
1666,Sardines,"Tinned sardines, en:sardines-in-tomato-sauce"
1699,Caramel Rice And Corn Cakes,puffed-rice-cakes
1741,Magnum White Chocolate,ice-cream-bars
2048,Asda Hazelnut Chocolate Spread,cocoa-and-hazelnuts-spreads
2152,Custard,custards-and-pastry-creams
2235,Chocolate Rice Cakes,puffed-rice-cakes-with-black-chocolate
2343,Tesco Fresh Custard British Cream Milk A,custards-and-pastry-creams
2539,Honey Smoked Salmon & Lentil Salad,"Smoked salmon lentil salad, Smoked-salmon-lentil-s"
2586,Chicken Jalfrezi,"Chicken jafrezi, en:meals-with-chicken"
2655,Baked Beans In Tomato Sauce,baked-beans-in-tomato-sauce
2712,Fruit & Nut Mix,Dried-fruit-and-nut-mix
2758,Beans With Richmond Pork Sausages,Baked-beans-and-sausage-in-tomato-sauce
3117,Tropical Trail Mix,"Fruit-and-nuts-mix, Nibbles"
3124,Vegetable Masala,"Vegetarian-indian-meal, Vegetable masala"
3190,TTD Chocolate And Salted Caramel Hot Cro,"Hot-cross-bun, Cakes"
3202,Beer Battered Cod Fillets,"Fish and meat and eggs, Beer-battered-cod"
3309,West Country Extra Mature Cheddar And Re,cheeses-from-england
3317,Raisins Chocolate,chocolate-covered-raisins
3380,Cheese & Red Onion Sandwich,"Cheese-and-red-onion-sandwich, Sandwich made with "
3595,Raspberry & Almond Butter Pressed Fruit ,"Snacks, Pressed-fruit-and-nut"
3655,Swiss Almond And Milk Chocolate Nutty Cl,"Chocolate-nut-snack, snack"
3665,Vegetarian Nut Roast,"Nut-roast, Vegetarian-nut-roast-with-caramelised-n"
3871,"Pasta Bake, Tomato & Herb","Pasta-bake-sauce, pasta bake"
4022,Arctic Roll,ice-creams-and-sorbets
4171,No Added Sugar Beanz In Tomato Sauce 6 X,"de:Bohnen, en:baked-beans-in-tomato-sauce"
4266,BBQ Pork,"Meals-with-pork, Microwave meals"
4383,Baked Beans With Sausages,baked-beans-in-tomato-sauce
4418,Cheese & Onion,cheese-and-onion-crisps
4457,SALT & Vinegar Flavour Potato Snacks,flavoured-potato-crisps
4463,Cheese Flavour Potato Snack,"plant-based-foods-and-beverages, plant-based-foods"
4560,Spaghetti Loops With Sausages And Tomato,"Tinned-ready-meals, Tomato pasta + meat (sausages)"
4577,Baked Beans,In-tomato-sauce-salt-0-96g-low-in-fat-sorcerer-of-
4610,Egg Custard Tart,"Pies, Egg-custard-tart"
5225,Vegetarian Tomato & Basil Meatballs,"Frozen-vegaterian-meatballs, Vegetarian Meatballs"
5262,Fruit High Juice Apple And Mango,"Apple-mango-high-juice, Concentrated-juice-drink"
5428,4 Extra Fruity Hot Cross Buns,"Hot-cross-buns, Sweet bread"
5490,Reduced Salt Tesco Baked Beans,"Beans, en:baked-beans-in-tomato-sauce"
5531,Sushi Tesco,"Meals, Sushis-and-makis"
5572,Vegetarian 2 Vegetable & Mozzarella Chee,"Vegetable-mozzarella-cheese-burgers, Vegetarian ha"
5690,Orange Dark Chocolate,"Orange dark chocolate, en:dark-chocolates-with-ora"
5739,Cookies & Cream Clusters,"Biscuit-rice-clusters, Crunchy cereal clusters"
5911,Onion Rings,"plant-based-foods-and-beverages, plant-based-foods"
5939,Drinking Hot Chocolate,instant-chocolate-powders
5949,Supergreen Salad,"plant-based-foods-and-beverages, plant-based-foods"
6143,Beanz (baked Beans),baked-beans-in-tomato-sauce
6292,Balsamic Salad Dressing,"Balsamic-salad-dressing, en:salad-dressings"
6293,2 Melting Centre Nut Roasts,Vegan-nut-roast
6294,Otatoes AST Potatos Basted IN British Be,frozen-fried-potatoes
6356,Thins - Multiseed Flatbreads,"plant-based-foods-and-beverages, plant-based-foods"
6444,Caramelised Biscuit Flavour Hot Cross Bu,"Caramelised-biscuit-flavour-hot-cross-buns, Hot-cr"
6452,Coated Chilli Peanuts,"Peanuts-chilli-coated, Nuts"
6520,Peanut m&ms,chocolate-covered-nuts
6535,12 Smoked British Streaky Bacon Rashers,"Smoked-streaky-bacon, Smoked streaky bacon"
6560,Pastrami & Emmental Sandwich,"Sandwiches, en:sandwiches-filled-with-cold-cuts"
6845,Fish Super Selection,"Meals, Sushis-and-makis"
7030,Mr Organic Ginger And Lemon Biscuits,Organic-ginger-and-lemon-biscuits
7065,Spanish Lemon Cake,"Desserts, Gluten-free-desert-suitable-for-vegans"
7159,Sosmix Original,"Vegetarian-and-vegan-sausage-substitute-mix, Veget"
7325,Mackerel Fillets,"Mackerel-fillets-in-sauce, Mackerel fillets"
7405,Crispsy Beef Chilli,"Crispy-chilli-beef, crispy chilli beef"
7413,Cheddar Cheese On White Bread Sandwich,"Sandwiches, Fresh-to-go"
7552,Sweet Potato Fries,"Sweet potato fries, en:frozen-fried-potatoes"
7566,Classic Vegetable Sushi,"Meals, Sushis-and-makis"
7623,Chicken Tikka Masala,chicken-tikka-masala
7695,Rye & Spelt Sourdough,"Rye-and-spelt-sourdough-bread, Bread"
7793,Baked Beans,baked-beans-in-tomato-sauce
7825,Nasi Goreng Paste,"Nasi-goreng-paste, Cooking paste"
8201,Coconut Cream,coconut-based-creams-for-cooking
8361,Salted Peanuts,"plant-based-foods-and-beverages, plant-based-foods"
8608,Mixed Fruit,"plant-based-foods-and-beverages, plant-based-foods"
8688,Flour Dusted Sliced Rolls,"plant-based-foods-and-beverages, plant-based-foods"
8809,Smoked Salmon Sushi,"Meals, Sushis-and-makis"
8842,Chicken Tikka Masala,"Canned chicken tikka masala, en:chicken-tikka-masa"
8850,Chicken In White Sauce,"Chicken-in-white-sauce-tinned, Tinned chicken"
8863,Hoisin Duck Sushi,"Meals, Sushis-and-makis"
8865,Smoked Salmon & Tuna Sushi,"Meals, Sushis-and-makis"
9029,Soft Brown Rolls,"plant-based-foods-and-beverages, plant-based-foods"
9202,Smoky Bean And Egg Breakfast Pot,"Bean & egg salad, Bean-egg-salad"
9234,Milk Chocolate Mini Rice Cakes,puffed-rice-cakes
9276,Simply Baked Beans LIDL,baked-beans-in-tomato-sauce
9503,Spiked Sparkling Lemonade,"Hard-seltzer, Spiked-sparkling-lemonade"
9553,Korean Style Sticky Rice Salad,"Korean-sticky-rice-salad, Cauliflower salad"
9716,Pepsi Max,diet-cola-soft-drink
9729,Light Greek Style Lemon Yogurts,greek-style-yogurts
9753,Chocolate Chip Brioche Rolls,"plant-based-foods-and-beverages, plant-based-foods"
9756,Sardines In Sunflower Oil,sardines-in-oil
9877,High Protein Yogurt Blueberry,"High-protein-yogurt-shot, High Protein Yogurt"
9883,Tortilla Wraps,6-wheat-tortillas-wraps-made-with-pea-and-wheat-pr
10019,Nik Naks Nice 'N' Spicy,"plant-based-foods-and-beverages, plant-based-foods"
10108,Apple Sugar Free Imp,artificially-sweetened-beverages
10202,Traditional Real Dairy Ice Cream,ice-cream-tubs
10317,Marmite Yeast Extract Flatbreads,"plant-based-foods-and-beverages, plant-based-foods"
10403,Salmon & Cali Top Hits,"Meals, Sushis-and-makis"
10453,Ryvita Thins,Wheat-and-rye-flatbread
10476,Pringles Original Mini,salty-snacks-made-from-potato
10483,Sour Cream & Onion,salty-snacks-made-from-potato
10607,Brown York Baps,"plant-based-foods-and-beverages, plant-based-foods"
10677,Sour Cream & Onion Potato Chips,"plant-based-foods-and-beverages, plant-based-foods"
10738,Tribe - Protein Flapjack,"Protein Flapjack, en:protein-energy-bars"
