row,name,category
22,Slices By Sainsbury's Y 10 Cheesey Sains,"Cheese slices, en:cheeses"
35,Aldi Dessert Menu Custard,"Desserts, en:custards-and-pastry-creams"
36,Beetroot Salad,ms:salad
55,Brown Butter Mince Pies,"Mince Pie, en:sweet-pies"
78,Frijj,"Milk drink, en:dairy-drinks"
127,Carrot & Swede Mash,"Carrot and swede mash, en:mashed-vegetables"
163,Southern Fried Chicken,"Breaded chicken breast, en:chickens"
182,Mint Sauce,"Condiments, en:mint-sauces"
208,Roast Chicken Flavour Bites,"Snacks, en:chickens"
215,Peri Peri Chicken,"Frozen chicken, en:chickens"
232,Digestive Biscuits With Wheatgerm,"Wheat germ digestive biscuits, en:biscuits"
252,Tender And Golden Chicken Breast Chunks,"Frozen chicken, en:chickens"
283,Coronation Chicken Sandwich,"Sandwiches, en:chicken-sandwiches"
286,Truffle Houmous,"Humous, en:hummus"
290,Gooey Brownie Bites,"Gooey Brownie Bites, en:confectioneries"
303,Jalapeno And Cheese Flavour Ridged Potat,"Potato crisps in vegetable oil, en:flavoured-potat"
403,Gold Meat Feast Pasta Bake,"Pasta bake, en:pasta-dishes"
404,Gold Chicken Tikka Masala,"Curry, en:meals-with-chicken"
448,Skinny Dream Salted Caramel Bars,"Snacks, en:chocolate-candies"
450,Sea Salt Crackers,"Biscuits and crackers, en:appetizers"
489,Chocolate Chip Brioche Rolls,"Chocolate chip brioche, en:brioches"
509,Spicy Mexican Style Salad Bowl,ms:salad
558,Honey And Oat Bar Light,"Oat bars, en:cereal-bars"
578,Dairy Milk Hazelnut,"Energy, en:confectioneries"
663,Large Wholemeal Baps X4,"Bread Rolls, en:breads"
726,Tiger Bloomer,"Bread Loaf, en:breads"
989,Salted Caramel Mousse,"Protein pudding, en:dairy-desserts"
1076,Tuna Niçoise Salad,ms:salad
1308,6 Vegetarian Sausage Rolls,"Vegan sausage rolls, en:meat-analogues"
1353,Raspberry Orange Blossom Lightly Sparkli,"Cbd drink, en:artificially-sweetened-beverages"
1472,2 Red Velvet Cupcakes,"Ca, en:cakes"
1663,Mediterranean Cous Cous,"Cous cous, en:durum-wheat-semolinas-for-couscous"
1666,Sardines,"Tinned sardines, en:sardines-in-tomato-sauce"
1732,Strawberry Laces,"Seeets, en:candies"
1745,Meatballs,"Tinned Meatballs, en:meat-balls"
1812,4 White Sourdough Rolls,"Sourdough white roll, en:breads"
1868,"Sea Salt, Chilli & Lime Mix","Snacks, en:potato-crisps"
1894,Walkers W Wotsits Crunchy Flamin Hot Fla,"Corn puffs, en:potato-crisps"
1917,Wortsits Giants Really Cheesey,"Snacks, en:crisps"
2044,Belgian Chocolate Éclairs,"Belgian chocolate eclaires, en:chocolate-eclairs"
2052,Hot Cross Buns,"Hot crossed buns, en:breads"
2124,White Lasagne Sauce,"White Lasagne Sauce, en:prepared-lasagne"
2179,A Mix Of Sour Cream And Onion Flavour Po,"Snacks, en:potato-crisps"
2225,Coconut Porridge,"Flavoured porridge, en:porridge"
2266,Spiced Rum Mince Pies,"Pies, en:sweet-pies"
2459,Darkmilk,"Dark milk chocolate, en:milk-chocolates"
2520,Soft Grain Rolls,"Bread roll, en:breads"
2586,Chicken Jalfrezi,"Chicken jafrezi, en:meals-with-chicken"
2592,"Super Nut, Fruit & Seed Flapjack","Snacks, en:bars"
2618,Eat Well Tiger Rolls,"Bread rolls, en:breads"
2708,Flamin Hot Chicken Strips,"Chicken strips, en:cooked-chicken"
2718,Fusions Tuna,"Canned tuna jalapeños, en:canned-tunas"
2739,Tuna Chunks In Spring Water,"Tuna chunks in spring water, en:tuna-chunks"
2866,Crumpet Thins,"Crumpets, en:breads"
2920,Morrisons Seeded Bloomer,"Seeded bread, en:white-breads"
2921,Sliced Bloomer,"Tiger bread, en:breads"
2977,Extra Special Mixed Seed Sourdough,"Mixed seed sourdough bread, en:breads"
2985,Tesco Wholemeal Deli Rolls 4 Pack,"Whole meal deli rolls, en:breads"
3002,Eat Your Greens Feta Salad,ms:salad
3004,Green Olive And Rosemary Sourdough,"Sourdough bread, en:breads"
3029,Olive & Rosemary Sourdough,"Sourdough Bread, en:breads"
3071,"Garlic Mushroom, Mascarpone And Truffle ","Chilled pizza, en:pizzas"
3082,Spicy Mexican Style Rice,"Meal kits, en:rices"
3106,Plant Pioneers Meat Free Meatballs,"Vegan-meatballs, en:meat-analogues"
3268,Mixed Beans,"Mixed beans, en:common-beans"
3426,Pilau Rice,"Microwave rice, en:rices"
