row,name,brand,reason
69,Vanilla With Chocolate Sprinkle Yoghurt,Müller,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
716,Fruit Cocktail,Lidl,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
1281,Lucozade Energy,Lucozade,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
1283,Lucozade Zero,Lucozade,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
1449,Cadbury Highlights Chocolate Drink Chocolate,Cadbury,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
1619,Smooth Toffee Flavour,Müller,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
1620,Cookie Dough Flavour Yogurt,Müller,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
1624,Light Amore Lemon Yogurt,Müller,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
1625,Greek Style Layers Strawberry,Müller,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
1626,Greek Style Smooth Coconut Vanilla X4,Müller,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
3707,Rice Protein Chocolate Flavour,Müller,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
3709,Greek Style Strawberry,Müller,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
5091,Zero Pink Lemonade,Lucozade,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
5092,Zero Pink Lemonade,Lucozade,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
5095,Tropical,Lucozade,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
5097,Lucozade Apple Blast,Lucozade,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
5098,Pink Lemonade Zero Sugar,Lucozade,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
5959,Original Macaroni & Cheese Dinnerr,Kraft,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
6029,Sesame Bagels,M&S,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
6168,Muller Light Greek Topolis Strawberry 4P,Müller,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
6742,Sultana Bran,Kellogg's,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
6966,Bran Flakes,Kellogg's,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
7046,Chicken Pakora,P.K. Foods,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
7186,Options Belgian Hot Chocolate,,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
7310,Cadbury Dairy Milk With Oreo,Cadbury,US-style ingredient labeling: INS\d{3}
8620,Lucozade Energy Cherry,Lucazade Energy,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
9196,Mexican Lime & Elderflower Sparkling Fruit Crush,Lidl,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
9197,Kong Strong Wild Power Sugar Free,Lidl,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
9278,Mint Jet Gum,Lidl,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
9292,Diet Cola,Aldi,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
