id,name,simple_role,what_it_is,why_it_is_used,common_in,child_note,who_should_take_care,headline_risk_or_benefit,region_status_short,rating,quick_advice,vegan,aka_on_labels,sources_primary,last_updated,uk_grade_weight,uk_grade_note
E171,Titanium dioxide,Colour (whitener),"A bright white pigment (synthetic, man-made).",Whitening/opacity.,"chewing gum, icing, sprinkles, tablet coatings",EU banned in 2022 over genotoxicity concerns; GB/US still allow with limits.,Anyone avoiding additives flagged by regulators,EU ban; differing views among authorities.,EU/NI: banned • GB: permitted • US: permitted (≤1% in food),Avoid,Choose products without E171.,vegan,"titanium dioxide, TiO2, E171","[{""title"": ""EFSA 2021: E171 no longer considered safe"", ""url"": ""https://www.efsa.europa.eu/en/news/titanium-dioxide-e171-no-longer-considered-safe-when-used-food-additive""}, {""title"": ""eCFR 21 CFR 73.575 (US rule)"", ""url"": ""https://www.ecfr.gov/current/title-21/chapter-I/subchapter-A/part-73/subpart-A/section-73.575""}, {""title"": ""EU framework: Regulation (EC) No 1333/2008 (food additives)"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2008/1333/oj""}, {""title"": ""EU additive specifications: Regulation (EU) No 231/2012"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2012/231/oj""}, {""title"": ""JECFA additives database (WHO/FAO)"", ""url"": ""https://apps.who.int/food-additives-contaminants-jecfa-database/chemSearch.aspx""}, {""title"": ""US eCFR Title 21 (FDA) \u2014 Food Additives"", ""url"": ""https://www.ecfr.gov/current/title-21""}]",2025-09-05,18,Colour: brighter synthetics carry higher weight; naturals lower.
E924a,Potassium bromate,Flour improver (oxidiser),An oxidiser formerly used to strengthen dough.,Improves rise/crumb (now replaced).,legacy bread uses,BANNED in UK/EU. California bans sales from 2027.,Everyone—avoid,Rodent carcinogen signals; many bans.,EU/GB: banned • US: discouraged; CA ban from 2027,Avoid,Skip any product listing bromate.,vegan,"E924a, potassium bromate","[{""title"": ""UK ban SI 1990/399"", ""url"": ""https://www.legislation.gov.uk/uksi/1990/399/made""}, {""title"": ""California AB-418 (2027)"", ""url"": ""https://www.gov.ca.gov/wp-content/uploads/2023/10/AB-418-Signing.pdf""}, {""title"": ""EU framework: Regulation (EC) No 1333/2008 (food additives)"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2008/1333/oj""}, {""title"": ""EU additive specifications: Regulation (EU) No 231/2012"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2012/231/oj""}, {""title"": ""JECFA additives database (WHO/FAO)"", ""url"": ""https://apps.who.int/food-additives-contaminants-jecfa-database/chemSearch.aspx""}, {""title"": ""US eCFR Title 21 (FDA) \u2014 Food Additives"", ""url"": ""https://www.ecfr.gov/current/title-21""}]",2025-09-05,100,Red-flag additive in UK context; presence can drop grade to F.
E102,Tartrazine (FD&C Yellow 5),Colour (yellow),Synthetic azo dye (man-made).,Adds yellow colour.,"soft drinks, sweets, flavoured snacks",EU requires label about possible effects on activity/attention in children (for certain azo dyes).,Families tracking behavioural triggers,Warning label in EU; permitted with limits.,EU/GB: permitted (warning) • US: permitted (must declare name),Limit,Prefer naturally coloured options for kids.,vegan,"E102, Yellow 5, tartrazine","[{""title"": ""EFSA Southampton study context"", ""url"": ""https://www.efsa.europa.eu/en/news/efsa-evaluates-southampton-study-food-additives-and-child-behaviour""}, {""title"": ""EU framework: Regulation (EC) No 1333/2008 (food additives)"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2008/1333/oj""}, {""title"": ""EU additive specifications: Regulation (EU) No 231/2012"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2012/231/oj""}, {""title"": ""JECFA additives database (WHO/FAO)"", ""url"": ""https://apps.who.int/food-additives-contaminants-jecfa-database/chemSearch.aspx""}, {""title"": ""US eCFR Title 21 (FDA) \u2014 Food Additives"", ""url"": ""https://www.ecfr.gov/current/title-21""}]",2025-09-05,12,Colour: brighter synthetics carry higher weight; naturals lower.
E211,Sodium benzoate,Preservative,"Salt of benzoic acid (synthetic, man-made).",Prevents yeasts/moulds in acidic foods.,"soft drinks, pickles, sauces",Featured in ‘Southampton’ mixtures with certain dyes; evidence mixed.,Families tracking behavioural triggers,Permitted with limits.,EU/GB/US: permitted,Limit,Prefer benzoate-free drinks for kids where possible.,vegan,"E211, sodium benzoate","[{""title"": ""Lancet 2007 Southampton study"", ""url"": ""https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(07)61306-3/fulltext""}, {""title"": ""EU framework: Regulation (EC) No 1333/2008 (food additives)"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2008/1333/oj""}, {""title"": ""EU additive specifications: Regulation (EU) No 231/2012"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2012/231/oj""}, {""title"": ""JECFA additives database (WHO/FAO)"", ""url"": ""https://apps.who.int/food-additives-contaminants-jecfa-database/chemSearch.aspx""}, {""title"": ""US eCFR Title 21 (FDA) \u2014 Food Additives"", ""url"": ""https://www.ecfr.gov/current/title-21""}]",2025-09-05,8,
E100,Curcumin,Colour,"Curcumin is a colouring ingredient used to make foods look appealing (some are natural extracts, others are synthetic).",Colour appeal or standardisation.,"sweets, drinks, desserts, bakery",Bright synthetic colours can encourage overconsumption; some azo dyes carry an EU behaviour warning.,,Widely used; limits apply depending on food.,EU/GB/US: permitted,Limit,"For kids, prefer naturally coloured options and keep bright colours as occasional treats.",vegan,,"[{""title"": ""EFSA colours re-evaluations"", ""url"": ""https://www.efsa.europa.eu/en/topics/topic/food-colours""}, {""title"": ""EU framework: Regulation (EC) No 1333/2008 (food additives)"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2008/1333/oj""}, {""title"": ""EU additive specifications: Regulation (EU) No 231/2012"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2012/231/oj""}, {""title"": ""JECFA additives database (WHO/FAO)"", ""url"": ""https://apps.who.int/food-additives-contaminants-jecfa-database/chemSearch.aspx""}, {""title"": ""US eCFR Title 21 (FDA) \u2014 Food Additives"", ""url"": ""https://www.ecfr.gov/current/title-21""}]",2025-09-05,8,Colour: brighter synthetics carry higher weight; naturals lower.
E101,Riboflavins,Colour,"Riboflavins is a colouring ingredient used to make foods look appealing (some are natural extracts, others are synthetic).",Colour appeal or standardisation.,"sweets, drinks, desserts, bakery",Bright synthetic colours can encourage overconsumption; some azo dyes carry an EU behaviour warning.,,Widely used; limits apply depending on food.,EU/GB/US: permitted,Limit,"For kids, prefer naturally coloured options and keep bright colours as occasional treats.",vegan,,"[{""title"": ""EFSA colours re-evaluations"", ""url"": ""https://www.efsa.europa.eu/en/topics/topic/food-colours""}, {""title"": ""EU framework: Regulation (EC) No 1333/2008 (food additives)"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2008/1333/oj""}, {""title"": ""EU additive specifications: Regulation (EU) No 231/2012"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2012/231/oj""}, {""title"": ""JECFA additives database (WHO/FAO)"", ""url"": ""https://apps.who.int/food-additives-contaminants-jecfa-database/chemSearch.aspx""}, {""title"": ""US eCFR Title 21 (FDA) \u2014 Food Additives"", ""url"": ""https://www.ecfr.gov/current/title-21""}]",2025-09-05,8,Colour: brighter synthetics carry higher weight; naturals lower.
E101a,Riboflavin-5'-phosphate,Colour,"Riboflavin-5'-phosphate is a colouring ingredient used to make foods look appealing (some are natural extracts, others are synthetic).",Colour appeal or standardisation.,"sweets, drinks, desserts, bakery",Bright synthetic colours can encourage overconsumption; some azo dyes carry an EU behaviour warning.,,Widely used; limits apply depending on food.,EU/GB/US: permitted,Limit,"For kids, prefer naturally coloured options and keep bright colours as occasional treats.",vegan,,"[{""title"": ""EFSA colours re-evaluations"", ""url"": ""https://www.efsa.europa.eu/en/topics/topic/food-colours""}, {""title"": ""EU framework: Regulation (EC) No 1333/2008 (food additives)"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2008/1333/oj""}, {""title"": ""EU additive specifications: Regulation (EU) No 231/2012"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2012/231/oj""}, {""title"": ""JECFA additives database (WHO/FAO)"", ""url"": ""https://apps.who.int/food-additives-contaminants-jecfa-database/chemSearch.aspx""}, {""title"": ""US eCFR Title 21 (FDA) \u2014 Food Additives"", ""url"": ""https://www.ecfr.gov/current/title-21""}]",2025-09-05,8,Colour: brighter synthetics carry higher weight; naturals lower.
E104,Quinoline Yellow,Colour,"Quinoline Yellow is a colouring ingredient used to make foods look appealing (some are natural extracts, others are synthetic).",Colour appeal or standardisation.,"sweets, drinks, desserts, bakery",Bright synthetic colours can encourage overconsumption; some azo dyes carry an EU behaviour warning.,,Widely used; limits apply depending on food.,EU/GB/US: permitted,Limit,"For kids, prefer naturally coloured options and keep bright colours as occasional treats.",vegan,,"[{""title"": ""EFSA colours re-evaluations"", ""url"": ""https://www.efsa.europa.eu/en/topics/topic/food-colours""}, {""title"": ""EU framework: Regulation (EC) No 1333/2008 (food additives)"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2008/1333/oj""}, {""title"": ""EU additive specifications: Regulation (EU) No 231/2012"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2012/231/oj""}, {""title"": ""JECFA additives database (WHO/FAO)"", ""url"": ""https://apps.who.int/food-additives-contaminants-jecfa-database/chemSearch.aspx""}, {""title"": ""US eCFR Title 21 (FDA) \u2014 Food Additives"", ""url"": ""https://www.ecfr.gov/current/title-21""}]",2025-09-05,12,Colour: brighter synthetics carry higher weight; naturals lower.
E110,Sunset Yellow FCF,Colour,"Sunset Yellow FCF is a colouring ingredient used to make foods look appealing (some are natural extracts, others are synthetic).",Colour appeal or standardisation.,"sweets, drinks, desserts, bakery",Bright synthetic colours can encourage overconsumption; some azo dyes carry an EU behaviour warning.,,Widely used; limits apply depending on food.,EU/GB/US: permitted,Limit,"For kids, prefer naturally coloured options and keep bright colours as occasional treats.",vegan,,"[{""title"": ""EFSA colours re-evaluations"", ""url"": ""https://www.efsa.europa.eu/en/topics/topic/food-colours""}, {""title"": ""EU framework: Regulation (EC) No 1333/2008 (food additives)"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2008/1333/oj""}, {""title"": ""EU additive specifications: Regulation (EU) No 231/2012"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2012/231/oj""}, {""title"": ""JECFA additives database (WHO/FAO)"", ""url"": ""https://apps.who.int/food-additives-contaminants-jecfa-database/chemSearch.aspx""}, {""title"": ""US eCFR Title 21 (FDA) \u2014 Food Additives"", ""url"": ""https://www.ecfr.gov/current/title-21""}]",2025-09-05,12,Colour: brighter synthetics carry higher weight; naturals lower.
E120,"Cochineal, carminic acid, carmine",Colour,"Cochineal, carminic acid, carmine is a colouring ingredient used to make foods look appealing (some are natural extracts, others are synthetic).",Colour appeal or standardisation.,"sweets, drinks, desserts, bakery",Bright synthetic colours can encourage overconsumption; some azo dyes carry an EU behaviour warning.,,Widely used; limits apply depending on food.,EU/GB/US: permitted,Limit,"For kids, prefer naturally coloured options and keep bright colours as occasional treats.",vegan,,"[{""title"": ""EFSA colours re-evaluations"", ""url"": ""https://www.efsa.europa.eu/en/topics/topic/food-colours""}, {""title"": ""EU framework: Regulation (EC) No 1333/2008 (food additives)"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2008/1333/oj""}, {""title"": ""EU additive specifications: Regulation (EU) No 231/2012"", ""url"": ""https://eur-lex.europa.eu/eli/reg/2012/231/oj""}, {""title"": ""JECFA additives database (WHO/FAO)"", ""url"": ""https://apps.who.int/food-additives-contaminants-jecfa-database/chemSearch.aspx""}, {""title"": ""US eCFR Title 21 (FDA) \u2014 Food Additives"", ""url"": ""https://www.ecfr.gov/current/title-21""}]",2025-09-05,8,Colour: brighter synthetics carry higher weight; naturals lower.
